CcnId,Hsi
200034,HSI00000287
201311,HSI00000330
201307,HSI00000330
201315,HSI00000611
201313,HSI00000330
200009,HSI00000611
200018,HSI00000330
200063,HSI00000611
201306,HSI00000197
200039,HSI00000610
200041,HSI00000330
204005,HSI00000611
200020,HSI00001274
300029,HSI00000492
301310,HSI00001339
301308,HSI00000299
301300,HSI00001339
300001,HSI00000165
300018,HSI00000813
300017,HSI00000492
300023,HSI00000355
301306,HSI00000558
300003,HSI00000299
300019,HSI00000299
300005,HSI00000558
301303,HSI00001339
301305,HSI00000299
300034,HSI00000188
301302,HSI00001339
300012,HSI00000338
300020,HSI00001358
300011,HSI00000287
301304,HSI00000299
301307,HSI00000611
300014,HSI00000385
470003,HSI00001185
470001,HSI00001185
470012,HSI00001016
470011,HSI00000299
471307,HSI00001185
471301,HSI00001308
470005,HSI00000900
471303,HSI00000299
471306,HSI00001022
471302,HSI00000299
220035,HSI00000813
220175,HSI00001066
220111,HSI00001037
220001,HSI00001122
220031,HSI00000131
220070,HSI00000443
220011,HSI00000156
220086,HSI00000110
220074,HSI00001004
220033,HSI00000563
223032,HSI00000813
221303,HSI00000478
220008,HSI00001041
220098,HSI00001037
220110,HSI00000813
220017,HSI00001037
223302,HSI00000130
220119,HSI00000813
224013,HSI00001148
220075,HSI00000813
220063,HSI00000598
220071,HSI00000813
223034,HSI00000813
220116,HSI00001112
223304,HSI00000981
220036,HSI00001037
220052,HSI00000984
220171,HSI00000563
224018,HSI00001148
222000,HSI00000813
220002,HSI00000708
220058,HSI00001122
220084,HSI00000340
220020,HSI00001037
220135,HSI00000161
220095,HSI00000478
221302,HSI00000109
220016,HSI00000097
220163,HSI00001122
220024,HSI00001219
220012,HSI00000161
220049,HSI00001122
220080,HSI00001037
220108,HSI00000110
220177,HSI00000813
220083,HSI00000110
000000,HSI00001148
220101,HSI00000813
220015,HSI00000813
220126,HSI00001037
221300,HSI00000813
220030,HSI00000097
220046,HSI00000109
220060,HSI00000110
222027,HSI00001037
224021,HSI00001148
220100,HSI00001002
220066,HSI00001106
223303,HSI00000981
220077,HSI00000097
220073,HSI00001037
224007,HSI00000813
220065,HSI00000097
220105,HSI00000563
220176,HSI00001066
413025,HSI00000845
414003,HSI00000585
410006,HSI00000585
410005,HSI00000851
414000,HSI00000166
410012,HSI00000585
410010,HSI00000166
410007,HSI00000585
410004,HSI00000851
410008,HSI00000998
410011,HSI00000845
410009,HSI00000166
410013,HSI00001272
070017,HSI00000452
070010,HSI00001272
070025,HSI00000452
070002,HSI00001106
070006,HSI00001032
070028,HSI00000055
073025,HSI00001106
070035,HSI00000452
070029,HSI00001286
070033,HSI00001253
070031,HSI00000055
070018,HSI00001272
070036,HSI00001170
070027,HSI00000851
070020,HSI00000683
070022,HSI00001272
073300,HSI00000268
070007,HSI00001272
070034,HSI00001253
070024,HSI00000452
070003,HSI00000301
070012,HSI00000851
070004,HSI00000462
070008,HSI00001106
070011,HSI00000452
070016,HSI00001106
070005,HSI00000851
070021,HSI00000452
074008,HSI00000452
330136,HSI00000087
330103,HSI00000537
330044,HSI00000697
330232,HSI00001106
330101,HSI00000731
330028,HSI00000879
330013,HSI00000019
330073,HSI00000889
330399,HSI00000910
332008,HSI00000730
330264,HSI00000700
330208,HSI00000882
330126,HSI00000423
330003,HSI00001106
331303,HSI00000423
330057,HSI00001106
334027,HSI00000767
330047,HSI00000055
330144,HSI00000052
330043,HSI00000767
330332,HSI00000186
330011,HSI00000055
330385,HSI00000730
330233,HSI00001288
330350,HSI00000903
330236,HSI00000731
330196,HSI00000730
330397,HSI00000515
330201,HSI00000550
330202,HSI00000730
330019,HSI00000731
330194,HSI00000767
330396,HSI00000730
330078,HSI00001106
330005,HSI00000537
330219,HSI00001080
330279,HSI00001106
330074,HSI00001179
330197,HSI00000930
330273,HSI00000462
330094,HSI00000236
330265,HSI00000889
330268,HSI00000087
330277,HSI00000430
331301,HSI00000537
330238,HSI00001179
331305,HSI00000087
331302,HSI00001185
330090,HSI00000052
330108,HSI00000052
330394,HSI00001138
330395,HSI00000347
330055,HSI00000731
330193,HSI00000642
330058,HSI00000362
330181,HSI00000767
330191,HSI00000401
330195,HSI00000767
330276,HSI00001335
331315,HSI00000930
330088,HSI00001038
331316,HSI00000767
330027,HSI00000767
330151,HSI00001179
330045,HSI00000767
330307,HSI00000189
330014,HSI00000642
330231,HSI00000730
330239,HSI00001126
330102,HSI00001106
330224,HSI00001252
330004,HSI00001252
330386,HSI00000423
331311,HSI00000087
330084,HSI00001185
330106,HSI00000767
331304,HSI00001252
330167,HSI00000717
331313,HSI00000189
330162,HSI00000767
330086,HSI00000700
330030,HSI00000889
330184,HSI00000700
330204,HSI00000730
330169,HSI00000711
330009,HSI00000140
330127,HSI00000730
334048,HSI00000731
330240,HSI00000730
330214,HSI00000717
330119,HSI00000767
330080,HSI00000730
330199,HSI00000730
330059,HSI00000700
330024,HSI00000711
330128,HSI00000730
330100,HSI00000711
330046,HSI00000711
330188,HSI00001106
330065,HSI00000737
330033,HSI00001138
330104,HSI00000700
330115,HSI00000792
330085,HSI00000087
330261,HSI00000767
330218,HSI00000798
330141,HSI00000186
330267,HSI00000731
331314,HSI00000362
330331,HSI00000767
330250,HSI00001185
330185,HSI00000767
330135,HSI00001252
330246,HSI00000186
330023,HSI00000462
330049,HSI00000462
330107,HSI00000767
330164,HSI00001179
330226,HSI00000889
330125,HSI00000889
330285,HSI00001179
330259,HSI00000186
330182,HSI00000186
330222,HSI00000019
330406,HSI00001106
330153,HSI00000339
330401,HSI00000186
330111,HSI00001106
330160,HSI00000767
330158,HSI00001252
330393,HSI00001038
000000,HSI00000767
330140,HSI00001106
330241,HSI00000904
330203,HSI00000767
330180,HSI00001106
330245,HSI00000697
330234,HSI00001252
331312,HSI00001138
330205,HSI00001252
330157,HSI00000952
330096,HSI00001179
330166,HSI00000025
330286,HSI00000186
330404,HSI00000700
330304,HSI00000700
330006,HSI00000925
310027,HSI00001105
312017,HSI00000863
310064,HSI00000388
310025,HSI00000169
310050,HSI00000845
310032,HSI00000514
310014,HSI00001079
310029,HSI00001106
310011,HSI00000820
313033,HSI00000439
314022,HSI00000863
310083,HSI00000851
310108,HSI00000439
310069,HSI00000514
310005,HSI00000502
310111,HSI00000194
310001,HSI00000439
310115,HSI00000060
310040,HSI00000169
310112,HSI00000439
310016,HSI00000169
310003,HSI00000439
310074,HSI00000863
310084,HSI00000863
310061,HSI00001106
310075,HSI00000863
310113,HSI00000439
000000,HSI00001233
310054,HSI00000046
310015,HSI00000060
310057,HSI00001233
310073,HSI00000439
310009,HSI00000863
310119,HSI00001154
310076,HSI00000863
310002,HSI00000863
310096,HSI00000845
000000,HSI00000439
310038,HSI00000863
310070,HSI00000942
310028,HSI00000060
310006,HSI00000845
310019,HSI00000929
310039,HSI00000439
